name,lat,lng
wc 288,47.4334527,19.2621905
wc 289,47.5733166,19.0652181
wc 290,47.533899,19.0503292
wc 291,47.5301765,19.0499121
wc 292,47.5231275,19.044895
wc 293,47.519777,19.0438851
wc 294,47.5007792,19.0831397
wc 295,47.4722672,19.1853457
wc 296,47.5038496,19.1370318
wc 297,47.4671914,19.0028603
wc 298,47.4683072,18.9938418
wc 299,47.4722808,18.9941433
wc 300,47.4642679,19.0323973
wc 301,47.4364687,19.0478295
wc 302,47.5534799,19.1431018
wc 303,47.477072,19.0402189
wc 304,47.5169302,19.0429879
wc 305,47.4638993,19.0259924
wc 306,47.4932156,19.0423953
wc 307,47.5120447,19.0358942
wc 308,47.5163113,19.0003875
wc 309,47.470415,19.0840802
wc 310,47.4710587,19.0845255
wc 311,47.4703063,19.0847279
wc 312,47.4703344,19.0598571
wc 313,47.4744069,19.0624094
wc 314,47.474526,19.0623859
wc 315,47.4834781,19.0049219
wc 316,47.4300114,19.0666706
wc 317,47.4659757,19.0801861
wc 318,47.501665,18.9672196
wc 319,47.4722978,19.0630294
wc 320,47.4722309,19.0625739
wc 321,47.4744641,19.0618609
wc 322,47.4746013,19.0613331
wc 323,47.4939686,19.0425965
wc 324,47.4759195,19.0603834
wc 325,47.510577,19.0277653
wc 326,47.5052145,19.0364505
wc 327,47.5463664,19.0275172
wc 328,47.5463627,19.0274754
wc 329,47.5463703,19.0275612
wc 330,47.5465738,19.0274255
wc 331,47.5465702,19.0273837
wc 332,47.5465777,19.0274695
wc 333,47.4691483,19.1483124
wc 334,47.470289,19.0847462
wc 335,47.5379706,18.9657323
wc 336,47.5377502,18.9659301
wc 337,47.406535,19.0167573
wc 338,47.4668049,19.0760208
wc 339,47.531526,19.0621583
wc 340,47.5176372,19.1981973
wc 341,47.4898218,19.0223812
wc 342,47.5786192,19.0653858
wc 343,47.5786119,19.0654582
wc 344,47.5710202,19.0623374
wc 345,47.4001825,19.1549278
wc 346,47.4001568,19.1548793
wc 347,47.4857886,19.072816
wc 348,47.5443562,19.0284931
wc 349,47.4910379,19.0970957
wc 350,47.5093334,19.027012
wc 351,47.4938656,19.123671
wc 352,47.5329662,19.0161853
wc 353,47.4641248,19.0445564
wc 354,47.5186085,19.0364818
wc 355,47.5011226,19.1498289
wc 356,47.4155272,19.0401465
wc 357,47.4158581,19.0403866
wc 358,47.4158965,19.0400308
wc 359,47.4959016,19.056422
wc 360,47.4753288,19.0795136
wc 361,47.5620021,19.0713882
wc 362,47.5607979,19.0704075
wc 363,47.5620263,19.0716295
wc 364,47.5626153,19.072114
wc 365,47.5525352,19.0665922
wc 366,47.5182306,18.9593191
wc 367,47.4738074,19.1871179
wc 368,47.5594163,19.0493074
wc 369,47.5218122,19.0527979
wc 370,47.4363927,19.1692261
wc 371,47.4324777,19.2603099
wc 372,47.4622856,19.0704496
